latitude,longitude,timestamp
19.6293,-35.9825,1586859207
20.1159,-35.5701,1586859217
20.6256,-35.1341,1586859227
21.1341,-34.6948,1586859238
21.6170,-34.2733,1586859248
22.1226,-33.8275,1586859259
22.6029,-33.3995,1586859269
23.1057,-32.9466,1586859279
23.5831,-32.5118,1586859289
24.0828,-32.0515,1586859300
24.5809,-31.5872,1586859310
25.0536,-31.1412,1586859320
25.5483,-30.6689,1586859331
26.0176,-30.2151,1586859341
26.5086,-29.7344,1586859351
26.9745,-29.2724,1586859361
27.4617,-28.7826,1586859372
27.9468,-28.2882,1586859382
28.4068,-27.8129,1586859392
28.8878,-27.3089,1586859403
29.3438,-26.8241,1586859413
29.8203,-26.3100,1586859423
30.2945,-25.7906,1586859434
30.7438,-25.2907,1586859444
31.2131,-24.7605,1586859455
31.6577,-24.2502,1586859465
32.1220,-23.7086,1586859475
32.5617,-23.1872,1586859485
33.0206,-22.6337,1586859496
33.4766,-22.0740,1586859506
33.9082,-21.5351,1586859516
34.3584,-20.9629,1586859527
34.7841,-20.4117,1586859537
35.2283,-19.8262,1586859547
35.6690,-19.2339,1586859558
36.0856,-18.6633,1586859568
36.5196,-18.0571,1586859578
36.9297,-17.4728,1586859588
37.3567,-16.8523,1586859599
37.7598,-16.2541,1586859609
38.1794,-15.6184,1586859619
38.5950,-14.9751,1586859630
38.9870,-14.3549,1586859640
39.3945,-13.6958,1586859651
39.7786,-13.0604,1586859661
40.1777,-12.3850,1586859671
40.5722,-11.7013,1586859682
40.9437,-11.0420,1586859692
41.3291,-10.3414,1586859702
41.6917,-9.6658,1586859712
42.0675,-8.9478,1586859723
42.4207,-8.2554,1586859733
42.7864,-7.5198,1586859743
43.1468,-6.7748,1586859754
43.4849,-6.0567,1586859764
43.8344,-5.2935,1586859774
44.1620,-4.5579,1586859784
44.5001,-3.7762,1586859795
44.8167,-3.0225,1586859805
45.1430,-2.2221,1586859815
45.4630,-1.4121,1586859826
45.7617,-0.6316,1586859836
46.0690,0.1974,1586859847
46.3554,0.9959,1586859857
46.6494,1.8438,1586859867
46.9364,2.7012,1586859878
47.2031,3.5269,1586859888
47.4760,4.4031,1586859898
47.7290,5.2466,1586859908
47.9872,6.1413,1586859919
48.2260,7.0022,1586859929
48.4691,7.9152,1586859939
48.7041,8.8371,1586859950
48.9203,9.7233,1586859960
49.1392,10.6626,1586859970
49.3399,11.5650,1586859980
49.5423,12.5206,1586859991
49.7359,13.4844,1586860001
49.9121,14.4097,1586860011
50.0885,15.3888,1586860022
50.2480,16.3281,1586860032
50.4065,17.3210,1586860043
50.5557,18.3210,1586860053
50.6891,19.2792,1586860063
50.8198,20.2912,1586860074
50.9355,21.2604,1586860084
51.0475,22.2835,1586860094
51.1450,23.2622,1586860104
51.2378,24.2944,1586860115
51.3207,25.3308,1586860125
51.3904,26.3212,1586860135
51.4537,27.3642,1586860146
51.5047,28.3603,1586860156
51.5483,29.4085,1586860166
51.5817,30.4585,1586860177
51.6041,31.4598,1586860187
51.6176,32.5120,1586860197
51.6210,33.5144,1586860207
51.6145,34.5671,1586860218
51.5989,35.5690,1586860228
51.5725,36.6202,1586860239
51.5360,37.6696,1586860249
51.4917,38.6671,1586860259
51.4353,39.7122,1586860270
51.3723,40.7049,1586860280
51.2963,41.7440,1586860290
51.2103,42.7793,1586860301
51.1192,43.7612,1586860311
51.0140,44.7877,1586860321
50.9048,45.7606,1586860331
50.7806,46.7768,1586860342
50.6469,47.7873,1586860352
50.5107,48.7438,1586860362
50.3586,49.7417,1586860373
50.2051,50.6858,1586860383
50.0350,51.6701,1586860393
49.8646,52.6007,1586860403
49.6770,53.5701,1586860414
49.4806,54.5318,1586860425
49.2855,55.4398,1586860435
49.0723,56.3850,1586860445
48.8615,57.2773,1586860455
48.6321,58.2057,1586860466
48.3945,59.1249,1586860476
48.1609,59.9919,1586860486
47.9080,60.8932,1586860497
47.6599,61.7430,1586860507
47.3920,62.6261,1586860517
47.1300,63.4582,1586860527
46.8477,64.3230,1586860538
46.5585,65.1778,1586860548
46.2765,65.9828,1586860558
45.9737,66.8186,1586860569
45.6792,67.6057,1586860579
45.3635,68.4227,1586860589
45.0569,69.1918,1586860599
44.7289,69.9899,1586860610
44.3946,70.7786,1586860621
44.0708,71.5208,1586860631
43.7251,72.2907,1586860641
43.3905,73.0152,1586860651
43.0337,73.7668,1586860662
42.6888,74.4742,1586860672
42.3215,75.2078,1586860682
41.9491,75.9322,1586860693
41.5896,76.6137,1586860703
41.2074,77.3207,1586860713
40.8389,77.9858,1586860723
40.4474,78.6757,1586860734
40.0512,79.3570,1586860744
39.6698,79.9981,1586860754
39.2650,80.6631,1586860765
38.8756,81.2888,1586860775
38.4626,81.9379,1586860785
38.0455,82.5791,1586860796
37.6447,83.1825,1586860806
37.2201,83.8085,1586860817
36.8122,84.3977,1586860827
36.3804,85.0092,1586860837
35.9658,85.5848,1586860847
35.5272,86.1822,1586860858
35.0851,86.7727,1586860868
34.6611,87.3285,1586860878
34.2129,87.9054,1586860889
33.7831,88.4488,1586860899
33.3288,89.0130,1586860909
32.8717,89.5708,1586860920
32.4337,90.0964,1586860930
31.9710,90.6423,1586860940
31.5279,91.1566,1586860950
31.0600,91.6911,1586860961
30.5896,92.2197,1586860971
30.1392,92.7181,1586860981
29.6640,93.2361,1586860992
29.1865,93.7488,1586861003
28.7296,94.2322,1586861013
28.2476,94.7349,1586861023
27.7866,95.2091,1586861033
27.3005,95.7022,1586861044
26.8355,96.1676,1586861054
26.3455,96.6516,1586861064
25.8537,97.1311,1586861075
25.3834,97.5838,1586861085
24.8880,98.0550,1586861095
24.4145,98.4998,1586861105
23.9157,98.9630,1586861116
23.4391,99.4004,1586861126
22.9371,99.8561,1586861136
